Type,Value,Source,Threat_Category,Date
domain,5502-3.duckdns.org,ThreatFox API,botnet_cc,2025-04-29 07:08:25 UTC
domain,klm21.zapto.org,ThreatFox API,botnet_cc,2025-04-29 07:08:25 UTC
domain,pureee.ydns.eu,ThreatFox API,botnet_cc,2025-04-29 07:08:25 UTC
domain,wudthost.duckdns.org,ThreatFox API,botnet_cc,2025-04-29 07:08:25 UTC
domain,pangacnc.com,ThreatFox API,botnet_cc,2025-04-29 07:07:06 UTC
domain,js.kzlyxu.cn,ThreatFox API,botnet_cc,2025-04-29 07:07:05 UTC
ip:port,193.26.115.124:8848,ThreatFox API,botnet_cc,2025-04-29 07:06:38 UTC
domain,bypasspayload69.zapto.org,ThreatFox API,botnet_cc,2025-04-29 07:06:03 UTC
domain,Kazze1010-29924.portmap.io,ThreatFox API,botnet_cc,2025-04-29 07:06:01 UTC
url,https://pastebin.com/raw/A0x8Px5P,ThreatFox API,botnet_cc,2025-04-29 07:05:29 UTC
ip:port,160.250.134.185:6606,ThreatFox API,botnet_cc,2025-04-29 07:05:03 UTC
domain,deadpoolstart2051.duckdns.org,ThreatFox API,botnet_cc,2025-04-29 07:04:45 UTC
domain,district-cells.gl.at.ply.gg,ThreatFox API,botnet_cc,2025-04-29 07:04:45 UTC
domain,rnmlz-95-88-102-149.a.free.pinggy.link,ThreatFox API,botnet_cc,2025-04-29 07:04:45 UTC
domain,rnxck-95-88-102-149.a.free.pinggy.link,ThreatFox API,botnet_cc,2025-04-29 07:04:45 UTC
url,https://94.156.177.41/ugopounds/five/PvqDq929BSx_A_D_M1n_a.php,ThreatFox API,botnet_cc,2025-04-29 07:03:56 UTC
url,http://45.141.233.172:50555/,ThreatFox API,botnet_cc,2025-04-29 07:03:10 UTC
url,http://45.192.164.238:8888/supershell/login,ThreatFox API,botnet_cc,2025-04-29 07:02:46 UTC
url,http://49.113.75.76:8888/supershell/login,ThreatFox API,botnet_cc,2025-04-29 07:02:43 UTC
ip:port,64.176.225.161:80,ThreatFox API,botnet_cc,2025-04-29 07:01:51 UTC
ip:port,82.116.45.20:7777,ThreatFox API,botnet_cc,2025-04-29 07:01:22 UTC
ip:port,94.98.218.137:3460,ThreatFox API,botnet_cc,2025-04-29 07:00:43 UTC
ip:port,149.210.24.9:443,ThreatFox API,botnet_cc,2025-04-29 06:59:52 UTC
ip:port,66.179.93.49:1604,ThreatFox API,botnet_cc,2025-04-29 06:59:29 UTC
ip:port,185.84.161.194:1177,ThreatFox API,botnet_cc,2025-04-29 06:59:06 UTC
ip:port,162.252.173.119:9000,ThreatFox API,botnet_cc,2025-04-29 06:58:47 UTC
ip:port,194.26.29.44:9000,ThreatFox API,botnet_cc,2025-04-29 06:58:47 UTC
ip:port,211.192.69.59:6001,ThreatFox API,botnet_cc,2025-04-29 06:58:23 UTC
ip:port,74.177.197.62:6001,ThreatFox API,botnet_cc,2025-04-29 06:58:22 UTC
ip:port,64.23.209.98:7443,ThreatFox API,botnet_cc,2025-04-29 06:57:57 UTC
ip:port,5.181.159.88:7443,ThreatFox API,botnet_cc,2025-04-29 06:57:57 UTC
ip:port,3.36.21.173:80,ThreatFox API,botnet_cc,2025-04-29 06:57:19 UTC
ip:port,4.207.15.13:3333,ThreatFox API,botnet_cc,2025-04-29 06:57:19 UTC
ip:port,172.236.137.60:3333,ThreatFox API,botnet_cc,2025-04-29 06:57:19 UTC
ip:port,34.102.87.198:31337,ThreatFox API,botnet_cc,2025-04-29 06:56:34 UTC
ip:port,94.156.35.94:31337,ThreatFox API,botnet_cc,2025-04-29 06:56:34 UTC
ip:port,45.12.151.19:31337,ThreatFox API,botnet_cc,2025-04-29 06:56:33 UTC
ip:port,106.15.127.125:50050,ThreatFox API,botnet_cc,2025-04-29 06:56:04 UTC
ip:port,179.43.186.234:50050,ThreatFox API,botnet_cc,2025-04-29 06:56:03 UTC
ip:port,116.198.229.197:50050,ThreatFox API,botnet_cc,2025-04-29 06:56:03 UTC
ip:port,20.199.40.114:443,ThreatFox API,botnet_cc,2025-04-29 06:56:02 UTC
ip:port,47.92.156.2:8843,ThreatFox API,botnet_cc,2025-04-29 06:55:33 UTC
url,https://9techsyncq.run/riid,ThreatFox API,botnet_cc,2025-04-29 06:55:17 UTC
ip:port,38.54.14.89:8443,ThreatFox API,botnet_cc,2025-04-29 06:55:06 UTC
url,https://yparakehjet.run/kewk,ThreatFox API,botnet_cc,2025-04-29 06:41:21 UTC
url,https://wbtcgeared.live/lbak,ThreatFox API,botnet_cc,2025-04-29 06:41:18 UTC
url,https://vparakehjet.run/kewk,ThreatFox API,botnet_cc,2025-04-29 06:41:17 UTC
url,https://sbtcgeared.live/lbak,ThreatFox API,botnet_cc,2025-04-29 06:41:03 UTC
url,https://ozenithcorde.top/auid,ThreatFox API,botnet_cc,2025-04-29 06:40:53 UTC
url,https://hclarmodq.top/qoxo,ThreatFox API,botnet_cc,2025-04-29 06:40:50 UTC
url,https://bzenithcorde.top/auid,ThreatFox API,botnet_cc,2025-04-29 06:40:40 UTC
url,https://a.techguidet.digital/apdo,ThreatFox API,botnet_cc,2025-04-29 06:40:25 UTC
url,https://7buzzarddf.live/ktnt,ThreatFox API,botnet_cc,2025-04-29 06:40:23 UTC
url,https://8bearjk.live/benj,ThreatFox API,botnet_cc,2025-04-29 06:40:23 UTC
url,https://4techguidet.digital/apdo,ThreatFox API,botnet_cc,2025-04-29 06:40:21 UTC
url,https://zparakehjet.run/kewk,ThreatFox API,botnet_cc,2025-04-29 06:36:07 UTC
url,https://wa8btcgeared.live/lbak,ThreatFox API,botnet_cc,2025-04-29 06:35:59 UTC
url,https://tbearjk.live/benj,ThreatFox API,botnet_cc,2025-04-29 06:35:50 UTC
url,https://ftechsyncq.run/riid,ThreatFox API,botnet_cc,2025-04-29 06:35:36 UTC
url,https://b6zenithcorde.top/auid,ThreatFox API,botnet_cc,2025-04-29 06:35:17 UTC
url,https://azenithcorde.top/auid,ThreatFox API,botnet_cc,2025-04-29 06:35:16 UTC
url,https://8zenithcorde.top/auid,ThreatFox API,botnet_cc,2025-04-29 06:35:15 UTC
url,https://4clarmodq.top/qoxo,ThreatFox API,botnet_cc,2025-04-29 06:35:13 UTC
url,https://0parakehjet.run/kewk,ThreatFox API,botnet_cc,2025-04-29 06:35:11 UTC
